"disfavoured.word","response.lower","entrained","interlocutor.SES","session.order","set","group","participantID","stimuli.order","f","experiment"
"serpent","snake",0,"L",2,1,"no prime","f1a1ba3ed2437521d288295ccf4ff89ccb5ded50",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","de9b9f294436f1c49aea78ce0aa0747a1010a793",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","c4df7df8017c187464c4fca6426703effffee5af",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","96213dfd1676e9686eb4165d92bbf868e35bc7d9",1,0,"experiment 1"
"serpent","serpent",1,"L",2,1,"no prime","d4798fdcc0941173f47f9ab9277dea5b9575b302",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","82ad8338385327498e201ef8c006d4561d6833b3",1,0,"experiment 1"
"serpent","snek",0,"L",2,1,"no prime","d517672ab2b56d52108c4ab49ef88cf73a5a5ebf",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","369b401bf3661dd21dbce65ff974dd5d0c031dab",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","f4b3b1b5ea604fd620db6c895ef607f446a8afbe",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","db3ad722df5f690133ff7a2101c1a12d56ec7113",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","94c6c1e9c3f40598d6ce84fb03d030a0ceb977cb",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","579ea59d19f1957a5b6953771958ff651a4c6f79",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","162663444e3a7853b6e98ce3c9aba2e14f933832",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","bceae4fd303b2b70d335fe34c5448825264c26fc",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","228d0dd1eb0acdb10b9d070393263bba5407f5e1",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","bf78df775031642093de3b720ebc2f338587be1b",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","57f7be12bbce500e7329d33e13b0e9a1d205ad02",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","885e3a447068b46339c984d1777c3ddb7675530b",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","88c30f85380f07f0d4f83303367fc5f88b8801b2",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","94f607a27f2ba9bc089ce1188e81a7179ab3e769",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","709f3b14db2f10fb0a6652b4fe305b17f2cc1466",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","b11832619a48a3ea6fd144b5b03812e3083b34ec",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","7eed6a5632dc463c336bff0e5121fea3ff066a65",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","d6d0f635068072790cb53d866ffd1b405824909e",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","efc86d6588703af576d0807f56e96582e7b2c8d6",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","f7c8a63a67c3e0025afd02279348158153c67883",1,0,"experiment 1"
"serpent","serpent",1,"L",2,1,"no prime","27f76476e4cb6cc39d67dd01664703516e94e01d",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","3649bef0b03fc1c41a434956a6ea9a43f0090062",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","dea0be2211229b7e60eaea92f877052936e0ad6f",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","35af1f8081dd02dc3de3f43697cd7ca9a36ea30e",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","6cec1d442218be6d22d097bfa5032d825242c1ba",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","7fefa1ccae1cf7bb8cc2f651e89c4aca2f84796c",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","14a0a5f6dd49b37a9dc361f42dbcd376c1fa1346",1,0,"experiment 1"
