label;prolific_id;response_lower;entrained;condition;gender_participant;age;sim;stimuli_order;set;order;f;experiment;group;gender_partner;randomBlock
serpent;f75a22a4958f1b9fa0c1c2c58f518b250c278f5e;snake;0;H;female;29;0.227;1;1;2;0;experiment 1;no prime;NA;NA
serpent;930e5549449163b32bb273949176fe3b66c7b5b5;snake;0;H;female;25;0.3674;1;1;2;0;experiment 1;no prime;NA;NA
serpent;234a04cafb72fd63598c1f1fde1a7e11840b60fa;snake;0;H;female;22;0.3726;1;1;2;0;experiment 1;no prime;NA;NA
serpent;0d5f62cebd7145c5338e5f41196da6ed8271ffa4;snake;0;H;female;21;0.3361;1;1;2;0;experiment 1;no prime;NA;NA
serpent;c999dcc33d4158d34d629b963449df4e3e7bdb37;snake;0;H;female;30;0.2596;1;1;2;0;experiment 1;no prime;NA;NA
serpent;49c1514cb90240b7ff201e40f5d3490104b1c1b8;snake;0;H;female;25;0.3667;1;1;2;0;experiment 1;no prime;NA;NA
serpent;19eadbbab91c09803dd9272f8467bf9d103d53a3;snake;0;H;female;28;0.3363;1;1;2;0;experiment 1;no prime;NA;NA
serpent;0018b72973ef168e5fdf6cf941b8456101e75b03;snake;0;H;female;26;0.4142;1;1;2;0;experiment 1;no prime;NA;NA
serpent;961d032cab8e25aad6c1ef0eb607f0802b163bd4;snake;0;H;female;30;0.3128;1;1;2;0;experiment 1;no prime;NA;NA
serpent;ed99170b4fd94dfe6ee91fe760fc51213c5f5811;snake;0;H;female;23;0.2464;1;1;2;0;experiment 1;no prime;NA;NA
serpent;eb970da0366e3e63a6147d4072775fadb34b839f;snake;0;H;female;25;0.1865;1;1;2;0;experiment 1;no prime;NA;NA
serpent;72bc411c97e58142a318d22852ff77b1f09dc404;snake;0;H;female;25;0.3238;1;1;2;0;experiment 1;no prime;NA;NA
serpent;9dcf99e506f9a86c93657edf0bedf08028f2e3e6;serpent;1;H;female;22;0.1749;1;1;2;0;experiment 1;no prime;NA;NA
serpent;880e21f7f116351d56b78a845471e32c98d9d05a;snake;0;H;female;26;0.4923;1;1;2;0;experiment 1;no prime;NA;NA
serpent;1bc69aaa3513519b2e5c3bac6be37c1700a00a1f;snake;0;H;female;30;0.2773;1;1;2;0;experiment 1;no prime;NA;NA
serpent;967e18ab2e452e29ba50dc6bad172f88ac584afd;snake;0;H;female;29;0.3475;1;1;2;0;experiment 1;no prime;NA;NA
serpent;be3a4bf0acd75184a416f4fbfc8a93b3a75e91a2;snake;0;H;female;26;0.3505;1;1;2;0;experiment 1;no prime;NA;NA
serpent;978d7e7d6ca7adc5358da74e5c52c7254b18d121;snake;0;H;female;24;0.3717;1;1;2;0;experiment 1;no prime;NA;NA
serpent;574394d96fb0d43e4abd2452e6854829888dd965;snake;0;H;female;30;0.3838;1;1;2;0;experiment 1;no prime;NA;NA
serpent;dea4be8ec19451897541bb9859796153b30e75c9;snake;0;H;female;28;0.3274;1;1;2;0;experiment 1;no prime;NA;NA
serpent;013f696893e5b34fb881c09dd2ab29ced6a879d7;serpent;1;H;female;28;0.3114;1;1;2;0;experiment 1;no prime;NA;NA
serpent;a9cdbe6553fa0cea78c8b0d60c8624a287839144;snake;0;H;female;25;0.333;1;1;2;0;experiment 1;no prime;NA;NA
serpent;b8d2861612c7499ac6f6cb06f64f28ddf6077265;snake;0;H;female;25;0.5069;1;1;2;0;experiment 1;no prime;NA;NA
serpent;ea293119d61fcc9bc1790a1065f9f2093e683149;snake;0;H;female;23;0.2256;1;1;2;0;experiment 1;no prime;NA;NA
serpent;31bba11adc7cffea78ff62703ffa0f93c4c1a90a;snake;0;H;female;28;0.4211;1;1;2;0;experiment 1;no prime;NA;NA
serpent;7e73367a9691ae390ffc55835eeffbb63571c2b7;snake;0;H;female;28;0.4354;1;1;2;0;experiment 1;no prime;NA;NA
serpent;c0cb4e0def49c697883002522dc35200ce22e312;snake;0;H;female;24;0.3865;1;1;2;0;experiment 1;no prime;NA;NA
serpent;75d206003072129bb621d32ee9f80fb2a500f5c1;serpant;0;H;male;22;0.2;1;1;1;0;experiment 1;no prime;NA;NA
serpent;2f538c77b2b7d66afe1f0b736c581a799f941453;snek;0;H;male;23;0.4291;1;1;1;0;experiment 1;no prime;NA;NA
serpent;030e9ae748db4c8ca36f5bef71119d70ebbfaf6e;snake;0;H;male;26;0.3331;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e45e7040780d41503fb68b6ab75f46c67dc809b8;serpant;0;H;male;24;0.6323;1;1;1;0;experiment 1;no prime;NA;NA
serpent;aab27406d502d7d187df42d21c8524118da03c5e;serpent;1;H;male;24;0.4037;1;1;1;0;experiment 1;no prime;NA;NA
serpent;cd87264fa85ab6c20fe645f59b7ee0f69bc49ea3;snake;0;H;male;27;0.2042;1;1;1;0;experiment 1;no prime;NA;NA
serpent;187281057f5337f83c5b54c8a152ef2715125b80;snake;0;H;male;27;0.3152;1;1;1;0;experiment 1;no prime;NA;NA
serpent;0b57a415aa160996fcc056c98879858878f6bbcd;python;0;H;male;24;0.4846;1;1;1;0;experiment 1;no prime;NA;NA
serpent;cb7e8e1be27f97e8962a816054b100d3e512742a;snake;0;H;male;30;0.5417;1;1;1;0;experiment 1;no prime;NA;NA
serpent;18c312bad1d17546c51892cbc3cfdc9f8e3e8ee2;snake;0;H;male;22;0.3971;1;1;1;0;experiment 1;no prime;NA;NA
serpent;d50f25e63c690cde38f8472327283516d9677374;snake;0;H;male;28;0.3771;1;1;1;0;experiment 1;no prime;NA;NA
serpent;a6fde1e28954281a516ffcdeb22e77fc73d63a08;snake;0;H;male;24;0.3756;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4db19d7da6b1ef9356d5067a5f3ffb2c3f7340e5;serpent;1;H;male;23;0.4103;1;1;1;0;experiment 1;no prime;NA;NA
serpent;a0745682ff0707eea012ebb09d8d4c1a7741e4f0;serpent;1;H;male;30;0.3556;1;1;1;0;experiment 1;no prime;NA;NA
serpent;0a44352e38526c9c1468c995b53fa7457e79a2ae;snake;0;H;male;25;0.3505;1;1;1;0;experiment 1;no prime;NA;NA
serpent;778d3a0ed98ef3f0961e0b60b9a001be318cae1b;snake;0;H;male;27;0.3363;1;1;1;0;experiment 1;no prime;NA;NA
serpent;c63aa73ee3400ed0c427e179ae10f56556929c1b;snake;0;H;male;29;0.4495;1;1;1;0;experiment 1;no prime;NA;NA
serpent;8cbba4bcc82f7bb1de2b629b8e7cbdae15135ffb;snake;0;H;male;22;0.3472;1;1;1;0;experiment 1;no prime;NA;NA
serpent;071419ad3b32bbfaf1d5f658bc474e4e13bdb39a;snake;0;H;male;30;0.3447;1;1;1;0;experiment 1;no prime;NA;NA
serpent;82ab9e040fbafe2d3a6c2bf94241e2ca21461ba2;snake;0;H;male;26;0.2321;1;1;1;0;experiment 1;no prime;NA;NA
serpent;6f609a23fe7823760e10f1e56b505a4854d3a5c1;serpent;1;H;male;25;0.3501;1;1;1;0;experiment 1;no prime;NA;NA
serpent;6076bee3e0f1edb3aae1dc925b0d91f7b4d5f54f;snake;0;H;male;21;0.4338;1;1;1;0;experiment 1;no prime;NA;NA
serpent;bbcd6a3f61d9581e2b77a771d0685f6daa6dca69;snake;0;H;male;22;0.4722;1;1;1;0;experiment 1;no prime;NA;NA
serpent;bfcbee699799cffaede778d655bcf9dceacb3972;serpent;1;H;male;24;0.3163;1;1;1;0;experiment 1;no prime;NA;NA
serpent;9d0f1b97cf76d001baac4edbbdf1ed55f8b90681;snake;0;H;male;29;0.3361;1;1;1;0;experiment 1;no prime;NA;NA
serpent;3c2601fdd75a270a9c8cd23863f71f133feee96e;serpent;1;H;male;25;0.4822;1;1;1;0;experiment 1;no prime;NA;NA
serpent;f909b82cee9dd4c96f425c4ea2005052d5aa715a;serpent;1;H;male;27;0.3143;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4af7b040d7416d1ac7bcdc0b4a3acc9b7c062b71;snake;0;L;male;24;0.0991;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e11069a37da058b42cd4d15559890ca798c9b2fc;serpent;1;L;male;30;0.2603;1;1;1;0;experiment 1;no prime;NA;NA
serpent;cc80fbedf28bbe3b6c37ef8dd2aa83772926be91;snake;0;L;male;20;0.2829;1;1;1;0;experiment 1;no prime;NA;NA
serpent;824c91e3f944545111881f0fa3b972ede41916bb;snake;0;L;male;25;0.151;1;1;1;0;experiment 1;no prime;NA;NA
serpent;27c2f83cd4c56ebc060aaf150ad28b6c866c017d;snake;0;L;male;24;0.3443;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4ea64ff5ab8259d646b56b80d7373dedf15ec145;snake;0;L;male;21;0.326;1;1;1;0;experiment 1;no prime;NA;NA
serpent;fc8c9c87aaf97503e650c9f5a855b78215ee47ed;snake;0;L;male;28;0.2174;1;1;1;0;experiment 1;no prime;NA;NA
serpent;c9b2831bdfee1d3027793ead58d1c1c455224d4c;snake;0;L;male;20;0.2146;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e9ef2f61c247b8cb4df923e445e2335bd8d39752;snake;0;L;male;25;0.33;1;1;1;0;experiment 1;no prime;NA;NA
serpent;2a6c5ceac8294aee2a8ca35cd99178307c4594cf;serpent;1;L;male;29;0.4112;1;1;1;0;experiment 1;no prime;NA;NA
serpent;593d98827e695b7327bf6ee1ac15f892340aebf1;snake;0;L;male;23;0.3041;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4f85324d487a42170d1d4722c7ed1cc542f86103;snake;0;L;male;29;0.1732;1;1;1;0;experiment 1;no prime;NA;NA
serpent;b1366cc2b41534f4110be00f586890b94a169ad9;snake;0;L;male;19;0.2057;1;1;1;0;experiment 1;no prime;NA;NA
serpent;646113df3939fce0e1402270ae629fc6ad23e23c;serpent;1;L;male;23;0.2825;1;1;1;0;experiment 1;no prime;NA;NA
serpent;119cb0891c30160ef4a9b36706b73193b02187bb;serpent;1;L;male;24;0.3493;1;1;1;0;experiment 1;no prime;NA;NA
serpent;bedc2c4881a8e0eb13a84ffa9cd6f73bbc38bf0a;snake;0;L;male;26;0.2403;1;1;1;0;experiment 1;no prime;NA;NA
serpent;91fdd6580b0944c1b752f34adbbf230ef9b522f0;serpent;1;L;male;23;0.4293;1;1;1;0;experiment 1;no prime;NA;NA
serpent;23db3ac7ac437a3d59fc4219cc84fc90562b72c1;snake;0;L;male;28;0.3711;1;1;1;0;experiment 1;no prime;NA;NA
serpent;8fa6c60ac1c98efc113301e54b0b9be370d2e552;snake;0;L;male;22;0.2748;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e64b83b74c419beb4aa1dadfd0468c3371ffe1fe;serpent;1;L;male;23;0.1143;1;1;1;0;experiment 1;no prime;NA;NA
serpent;785b31cdb095bf8ca2e3bee23ae1381271560bbc;snake;0;L;male;20;0.2087;1;1;1;0;experiment 1;no prime;NA;NA
serpent;e2d813385d6da8487d5a6780296fe313bc08fba1;snake;0;L;male;20;0.177;1;1;1;0;experiment 1;no prime;NA;NA
serpent;fad7d64f0dee2ec44e7cf184435282e7a3b83e62;snake;0;L;male;26;0.1727;1;1;1;0;experiment 1;no prime;NA;NA
serpent;388d9cbe24a95736a082209e85a777b462300bad;snake;0;L;male;23;0.2616;1;1;1;0;experiment 1;no prime;NA;NA
serpent;88035f341a0060eada46729c0f94c6701f614ccd;serpent;1;L;male;28;0.4029;1;1;1;0;experiment 1;no prime;NA;NA
serpent;232e1752d1fec35337ba2822c198f455e32e36a1;snake;0;L;male;24;0.4106;1;1;1;0;experiment 1;no prime;NA;NA
serpent;141778a106365ab27938982bd036aefd6cf92aeb;serpent;1;L;male;27;0.2779;1;1;1;0;experiment 1;no prime;NA;NA
serpent;fbd702a502d91d60708ff33251fab3ee1dec0c78;snake;0;L;male;27;0.2812;1;1;1;0;experiment 1;no prime;NA;NA
serpent;23b55dfe5453f6e71a416f6b4e3cb1151b5ff1fa;snake;0;L;male;22;0.3523;1;1;2;0;experiment 1;no prime;NA;NA
serpent;f1a1ba3ed2437521d288295ccf4ff89ccb5ded50;snake;0;L;male;29;0.232;1;1;2;0;experiment 1;no prime;NA;NA
serpent;de9b9f294436f1c49aea78ce0aa0747a1010a793;snake;0;L;male;27;0.3597;1;1;2;0;experiment 1;no prime;NA;NA
serpent;c4df7df8017c187464c4fca6426703effffee5af;snake;0;L;male;23;0.2598;1;1;2;0;experiment 1;no prime;NA;NA
serpent;96213dfd1676e9686eb4165d92bbf868e35bc7d9;snake;0;L;male;28;0.3995;1;1;2;0;experiment 1;no prime;NA;NA
serpent;d4798fdcc0941173f47f9ab9277dea5b9575b302;serpent;1;L;male;26;0.2914;1;1;2;0;experiment 1;no prime;NA;NA
serpent;82ad8338385327498e201ef8c006d4561d6833b3;snake;0;L;male;28;0.1874;1;1;2;0;experiment 1;no prime;NA;NA
serpent;d517672ab2b56d52108c4ab49ef88cf73a5a5ebf;snek;0;L;male;25;0.2694;1;1;2;0;experiment 1;no prime;NA;NA
serpent;369b401bf3661dd21dbce65ff974dd5d0c031dab;snake;0;L;male;23;0.2398;1;1;2;0;experiment 1;no prime;NA;NA
serpent;f4b3b1b5ea604fd620db6c895ef607f446a8afbe;snake;0;L;male;27;0.3145;1;1;2;0;experiment 1;no prime;NA;NA
serpent;db3ad722df5f690133ff7a2101c1a12d56ec7113;snake;0;L;male;26;0.2604;1;1;2;0;experiment 1;no prime;NA;NA
serpent;94c6c1e9c3f40598d6ce84fb03d030a0ceb977cb;snake;0;L;male;27;0.2844;1;1;2;0;experiment 1;no prime;NA;NA
serpent;579ea59d19f1957a5b6953771958ff651a4c6f79;snake;0;L;male;29;0.2518;1;1;2;0;experiment 1;no prime;NA;NA
serpent;162663444e3a7853b6e98ce3c9aba2e14f933832;snake;0;L;male;29;0.2007;1;1;2;0;experiment 1;no prime;NA;NA
serpent;bceae4fd303b2b70d335fe34c5448825264c26fc;snake;0;L;male;29;0.2115;1;1;2;0;experiment 1;no prime;NA;NA
serpent;228d0dd1eb0acdb10b9d070393263bba5407f5e1;snake;0;L;male;28;0.4288;1;1;2;0;experiment 1;no prime;NA;NA
serpent;bf78df775031642093de3b720ebc2f338587be1b;snake;0;L;male;27;0.2291;1;1;2;0;experiment 1;no prime;NA;NA
serpent;57f7be12bbce500e7329d33e13b0e9a1d205ad02;snake;0;L;male;24;0.3716;1;1;2;0;experiment 1;no prime;NA;NA
serpent;885e3a447068b46339c984d1777c3ddb7675530b;snake;0;L;male;29;0.3267;1;1;2;0;experiment 1;no prime;NA;NA
serpent;88c30f85380f07f0d4f83303367fc5f88b8801b2;snake;0;L;male;30;0.2602;1;1;2;0;experiment 1;no prime;NA;NA
serpent;94f607a27f2ba9bc089ce1188e81a7179ab3e769;snake;0;L;male;27;0.2289;1;1;2;0;experiment 1;no prime;NA;NA
serpent;709f3b14db2f10fb0a6652b4fe305b17f2cc1466;snake;0;L;male;23;0.4274;1;1;2;0;experiment 1;no prime;NA;NA
serpent;b11832619a48a3ea6fd144b5b03812e3083b34ec;snake;0;L;male;28;0.333;1;1;2;0;experiment 1;no prime;NA;NA
serpent;7eed6a5632dc463c336bff0e5121fea3ff066a65;snake;0;L;male;25;0.2249;1;1;2;0;experiment 1;no prime;NA;NA
serpent;d6d0f635068072790cb53d866ffd1b405824909e;snake;0;L;male;21;0.269;1;1;2;0;experiment 1;no prime;NA;NA
serpent;efc86d6588703af576d0807f56e96582e7b2c8d6;snake;0;L;male;23;0.1786;1;1;2;0;experiment 1;no prime;NA;NA
serpent;f7c8a63a67c3e0025afd02279348158153c67883;snake;0;L;male;29;0.3211;1;1;2;0;experiment 1;no prime;NA;NA
serpent;27f76476e4cb6cc39d67dd01664703516e94e01d;serpent;1;L;male;29;0.3528;1;1;2;0;experiment 1;no prime;NA;NA
